Estado,Estado Activo,Tipo Academico,Tipo Activo,Edificio,Edificio Activo,Piso Numero,Piso Activo,Edificio Piso
Disponible,A,Aula,A,Pabellón A,A,1,A,Pabellón A
Ocupado,A,Laboratorio,A,Pabellón A,A,2,A,Pabellón A
En Mantenimiento,A,Taller,A,Pabellón A,A,3,A,Pabellón A
,A,Laboratorio de Redes,A,Pabellón A,A,4,A,Pabellón A
,A,Laboratorio de Software,A,Pabellón B,A,1,A,Pabellón B
,A,Laboratorio de Cómputo,A,Pabellón B,A,2,A,Pabellón B
,A,Aula Magna,A,Pabellón B,A,3,A,Pabellón B
,A,Biblioteca,A,Pabellón C,A,1,A,Pabellón C
,A,Auditorio,A,Pabellón C,A,2,A,Pabellón C
,A,Gimnasio,A,Pabellón D,A,1,A,Pabellón D
